x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-50,-50,0,100000,38,0.00038,73,0.00073
-50,-50,1,100000,34,0.00034,82,0.00082
-50,-50,2,100000,22,0.00022,69,0.00069
-50,-50,3,100000,26,0.00026,69,0.00069
-50,-50,4,100000,33,0.00033,88,0.00088
-50,-50,5,100000,27,0.00027,71,0.00071
-50,-49,0,100000,27,0.00027,82,0.00082
-50,-49,1,100000,31,0.00031,85,0.00085
-50,-49,2,100000,38,0.00038,73,0.00073
-50,-49,3,100000,35,0.00035,86,0.00086
-50,-49,4,100000,51,0.00051,77,0.00077
-50,-49,5,100000,38,0.00038,76,0.00076
-50,-48,0,100000,34,0.00034,71,0.00071
-50,-48,1,100000,20,0.0002,72,0.00072
-50,-48,2,100000,27,0.00027,67,0.00067
-50,-48,3,100000,34,0.00034,84,0.00084
-50,-48,4,100000,35,0.00035,75,0.00075
-50,-48,5,100000,40,0.0004,71,0.00071
-50,-47,0,100000,32,0.00032,78,0.00078
-50,-47,1,100000,23,0.00023,68,0.00068
-50,-47,2,100000,30,0.0003,66,0.00066
-50,-47,3,100000,28,0.00028,83,0.00083
-50,-47,4,100000,33,0.00033,77,0.00077
-50,-47,5,100000,29,0.00029,66,0.00066
-50,-46,0,100000,52,0.00052,88,0.00088
-50,-46,1,100000,31,0.00031,64,0.00064
-50,-46,2,100000,32,0.00032,63,0.00063
-50,-46,3,100000,20,0.0002,73,0.00073
-50,-46,4,100000,35,0.00035,74,0.00074
-50,-46,5,100000,23,0.00023,74,0.00074
-50,-45,0,100000,21,0.00021,79,0.00079
-50,-45,1,100000,36,0.00036,75,0.00075
-50,-45,2,100000,36,0.00036,79,0.00079
-50,-45,3,100000,20,0.0002,69,0.00069
-50,-45,4,100000,33,0.00033,69,0.00069
-50,-45,5,100000,37,0.00037,76,0.00076
-50,-44,0,100000,36,0.00036,69,0.00069
-50,-44,1,100000,32,0.00032,69,0.00069
-50,-44,2,100000,54,0.00054,88,0.00088
-50,-44,3,100000,11,0.00011,75,0.00075
-50,-44,4,100000,27,0.00027,68,0.00068
-50,-44,5,100000,22,0.00022,70,0.0007
-50,-43,0,100000,35,0.00035,86,0.00086
-50,-43,1,100000,27,0.00027,58,0.00058
-50,-43,2,100000,27,0.00027,65,0.00065
-50,-43,3,100000,45,0.00045,77,0.00077
-50,-43,4,100000,36,0.00036,74,0.00074
-50,-43,5,100000,27,0.00027,71,0.00071
-50,-42,0,100000,23,0.00023,71,0.00071
-50,-42,1,100000,19,0.00019,49,0.00049
-50,-42,2,100000,38,0.00038,64,0.00064
-50,-42,3,100000,24,0.00024,67,0.00067
-50,-42,4,100000,30,0.0003,72,0.00072
-50,-42,5,100000,19,0.00019,61,0.00061
-50,-41,0,100000,20,0.0002,78,0.00078
-50,-41,1,100000,42,0.00042,74,0.00074
-50,-41,2,100000,31,0.00031,91,0.00091
-50,-41,3,100000,39,0.00039,79,0.00079
-50,-41,4,100000,23,0.00023,72,0.00072
-50,-41,5,100000,25,0.00025,68,0.00068
-50,-40,0,100000,32,0.00032,89,0.00089
-50,-40,1,100000,44,0.00044,76,0.00076
-50,-40,2,100000,42,0.00042,80,0.0008
-50,-40,3,100000,11,0.00011,65,0.00065
-50,-40,4,100000,30,0.0003,77,0.00077
-50,-40,5,100000,31,0.00031,86,0.00086
-50,-39,0,100000,31,0.00031,66,0.00066
-50,-39,1,100000,36,0.00036,70,0.0007
-50,-39,2,100000,32,0.00032,71,0.00071
-50,-39,3,100000,35,0.00035,69,0.00069
-50,-39,4,100000,16,0.00016,55,0.00055
-50,-39,5,100000,22,0.00022,73,0.00073
-50,-38,0,100000,26,0.00026,74,0.00074
-50,-38,1,100000,30,0.0003,64,0.00064
-50,-38,2,100000,36,0.00036,75,0.00075
-50,-38,3,100000,17,0.00017,58,0.00058
-50,-38,4,100000,38,0.00038,69,0.00069
-50,-38,5,100000,22,0.00022,74,0.00074
-50,-37,0,100000,33,0.00033,75,0.00075
-50,-37,1,100000,29,0.00029,81,0.00081
-50,-37,2,100000,35,0.00035,81,0.00081
-50,-37,3,100000,32,0.00032,70,0.0007
-50,-37,4,100000,34,0.00034,65,0.00065
-50,-37,5,100000,32,0.00032,69,0.00069
-50,-36,0,100000,33,0.00033,67,0.00067
-50,-36,1,100000,26,0.00026,68,0.00068
-50,-36,2,100000,25,0.00025,62,0.00062
-50,-36,3,100000,15,0.00015,57,0.00057
-50,-36,4,100000,18,0.00018,81,0.00081
-50,-36,5,100000,28,0.00028,72,0.00072
-50,-35,0,100000,19,0.00019,75,0.00075
-50,-35,1,100000,41,0.00041,81,0.00081
-50,-35,2,100000,53,0.00053,73,0.00073
-50,-35,3,100000,28,0.00028,69,0.00069
-50,-35,4,100000,23,0.00023,72,0.00072
-50,-35,5,100000,18,0.00018,77,0.00077
-50,-34,0,100000,48,0.00048,79,0.00079
-50,-34,1,100000,38,0.00038,75,0.00075
-50,-34,2,100000,49,0.00049,89,0.00089
-50,-34,3,100000,26,0.00026,68,0.00068
-50,-34,4,100000,20,0.0002,76,0.00076
-50,-34,5,100000,36,0.00036,62,0.00062
-50,-33,0,100000,49,0.00049,65,0.00065
-50,-33,1,100000,44,0.00044,89,0.00089
-50,-33,2,100000,28,0.00028,58,0.00058
-50,-33,3,100000,37,0.00037,69,0.00069
-50,-33,4,100000,42,0.00042,86,0.00086
-50,-33,5,100000,36,0.00036,74,0.00074
-50,-32,0,100000,37,0.00037,82,0.00082
-50,-32,1,100000,28,0.00028,76,0.00076
-50,-32,2,100000,26,0.00026,59,0.00059
-50,-32,3,100000,24,0.00024,79,0.00079
-50,-32,4,100000,29,0.00029,60,0.0006
-50,-32,5,100000,35,0.00035,62,0.00062
-50,-31,0,100000,31,0.00031,67,0.00067
-50,-31,1,100000,38,0.00038,81,0.00081
-50,-31,2,100000,15,0.00015,53,0.00053
-50,-31,3,100000,32,0.00032,64,0.00064
-50,-31,4,100000,44,0.00044,74,0.00074
-50,-31,5,100000,41,0.00041,65,0.00065
-50,-30,0,100000,31,0.00031,50,0.0005
-50,-30,1,100000,29,0.00029,78,0.00078
-50,-30,2,100000,16,0.00016,68,0.00068
-50,-30,3,100000,21,0.00021,83,0.00083
-50,-30,4,100000,33,0.00033,74,0.00074
-50,-30,5,100000,26,0.00026,73,0.00073
-50,-29,0,100000,26,0.00026,67,0.00067
-50,-29,1,100000,37,0.00037,72,0.00072
