x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-50,-50,0,100000,16,0.00016,66,0.00066
-50,-50,1,100000,42,0.00042,73,0.00073
-50,-50,2,100000,24,0.00024,68,0.00068
-50,-50,3,100000,33,0.00033,73,0.00073
-50,-50,4,100000,32,0.00032,59,0.00059
-50,-50,5,100000,36,0.00036,79,0.00079
-50,-49,0,100000,38,0.00038,84,0.00084
-50,-49,1,100000,18,0.00018,70,0.0007
-50,-49,2,100000,36,0.00036,76,0.00076
-50,-49,3,100000,28,0.00028,74,0.00074
-50,-49,4,100000,32,0.00032,70,0.0007
-50,-49,5,100000,33,0.00033,81,0.00081
-50,-48,0,100000,34,0.00034,76,0.00076
-50,-48,1,100000,23,0.00023,53,0.00053
-50,-48,2,100000,43,0.00043,65,0.00065
-50,-48,3,100000,33,0.00033,67,0.00067
-50,-48,4,100000,19,0.00019,69,0.00069
-50,-48,5,100000,29,0.00029,74,0.00074
-50,-47,0,100000,42,0.00042,93,0.00093
-50,-47,1,100000,50,0.0005,93,0.00093
-50,-47,2,100000,37,0.00037,82,0.00082
-50,-47,3,100000,51,0.00051,76,0.00076
-50,-47,4,100000,24,0.00024,75,0.00075
-50,-47,5,100000,24,0.00024,78,0.00078
-50,-46,0,100000,30,0.0003,75,0.00075
-50,-46,1,100000,32,0.00032,83,0.00083
-50,-46,2,100000,19,0.00019,75,0.00075
-50,-46,3,100000,32,0.00032,69,0.00069
-50,-46,4,100000,23,0.00023,63,0.00063
-50,-46,5,100000,32,0.00032,79,0.00079
-50,-45,0,100000,21,0.00021,63,0.00063
-50,-45,1,100000,43,0.00043,75,0.00075
-50,-45,2,100000,42,0.00042,82,0.00082
-50,-45,3,100000,34,0.00034,61,0.00061
-50,-45,4,100000,25,0.00025,77,0.00077
-50,-45,5,100000,19,0.00019,57,0.00057
-50,-44,0,100000,23,0.00023,67,0.00067
-50,-44,1,100000,22,0.00022,81,0.00081
-50,-44,2,100000,18,0.00018,65,0.00065
-50,-44,3,100000,11,0.00011,51,0.00051
-50,-44,4,100000,23,0.00023,75,0.00075
-50,-44,5,100000,18,0.00018,55,0.00055
-50,-43,0,100000,26,0.00026,89,0.00089
-50,-43,1,100000,39,0.00039,77,0.00077
-50,-43,2,100000,33,0.00033,85,0.00085
-50,-43,3,100000,35,0.00035,71,0.00071
-50,-43,4,100000,68,0.00068,83,0.00083
-50,-43,5,100000,16,0.00016,67,0.00067
-50,-42,0,100000,32,0.00032,58,0.00058
-50,-42,1,100000,34,0.00034,61,0.00061
-50,-42,2,100000,29,0.00029,67,0.00067
-50,-42,3,100000,41,0.00041,79,0.00079
-50,-42,4,100000,22,0.00022,81,0.00081
-50,-42,5,100000,25,0.00025,67,0.00067
-50,-41,0,100000,30,0.0003,69,0.00069
